Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample_07_contaminant_free_read2_unpaired	sample_07_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	195104.0	19.4 Mbp	0.0	80-151	61.0	96.60393506873132	98.97728391011974	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_08_contaminant_free_read1_paired	sample_08_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11946281.0	1.5 Gbp	0.0	80-151	61.0	95.15430005495968	128.59012223134548	140	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_08_contaminant_free_read1_unpaired	sample_08_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	195298.0	19.4 Mbp	0.0	80-151	63.0	92.41671550776847	98.86504726110867	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_08_contaminant_free_read2_paired	sample_08_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11946281.0	1.5 Gbp	0.0	80-151	61.0	94.9577995574394	128.59560929464158	140	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_08_contaminant_free_read2_unpaired	sample_08_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	217523.0	21.6 Mbp	0.0	80-151	60.0	98.02852340444723	99.23942755478731	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_09_contaminant_free_read1_paired	sample_09_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37874994.0	4.9 Gbp	0.0	80-151	63.0	95.58180627539103	129.3702485603034	144	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_09_contaminant_free_read1_unpaired	sample_09_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	899778.0	89.6 Mbp	0.0	80-151	65.0	96.92436879043605	99.1252464496798	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_09_contaminant_free_read2_paired	sample_09_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37874994.0	4.9 Gbp	0.0	80-151	63.0	95.4346929188082	129.11000904713015	142	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_09_contaminant_free_read2_unpaired	sample_09_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	462900.0	45.9 Mbp	0.0	80-151	62.0	98.36642679933605	98.67387772737092	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_10_contaminant_free_read1_paired	sample_10_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	110716924.0	15.9 Gbp	0.0	80-151	61.0	89.83343699270327	143.47266262563437	150	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_10_contaminant_free_read1_unpaired	sample_10_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6104545.0	614.6 Mbp	0.0	80-151	64.0	93.96404301283674	100.17245281998905	98	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_10_contaminant_free_read2_paired	sample_10_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	110716924.0	15.8 Gbp	0.0	80-151	61.0	89.81332403649087	142.62309922916572	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_10_contaminant_free_read2_unpaired	sample_10_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1648166.0	165.9 Mbp	0.0	80-151	61.0	97.3456389617823	100.19882220601566	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_11_contaminant_free_read1_paired	sample_11_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40901558.0	5.3 Gbp	0.0	80-151	62.0	95.21874248074406	129.52068021467545	144	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_11_contaminant_free_read1_unpaired	sample_11_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	847160.0	84.3 Mbp	0.0	80-151	65.0	96.88622531087155	99.1078592001511	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_11_contaminant_free_read2_paired	sample_11_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40901558.0	5.3 Gbp	0.0	80-151	62.0	95.0759778958512	129.3420134264812	144	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_11_contaminant_free_read2_unpaired	sample_11_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	565185.0	56.2 Mbp	0.0	80-151	62.0	98.34648434805823	98.92826596601112	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_12_contaminant_free_read1_paired	sample_12_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29236429.0	3.6 Gbp	0.0	80-151	62.0	93.67064909452256	122.98508521680264	126	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_12_contaminant_free_read1_unpaired	sample_12_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	487928.0	48.1 Mbp	0.0	80-151	64.0	95.94184030917798	98.24726189109869	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_12_contaminant_free_read2_paired	sample_12_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29236429.0	3.6 Gbp	0.0	80-151	62.0	93.46572287944946	122.8544864353988	126	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_12_contaminant_free_read2_unpaired	sample_12_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	292935.0	28.8 Mbp	0.0	80-151	61.0	98.03438358170385	98.13065014422995	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_13_contaminant_free_read1_paired	sample_13_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41202979.0	5.3 Gbp	0.0	80-151	63.0	95.41635524364025	128.695436075144	142	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_13_contaminant_free_read1_unpaired	sample_13_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	873147.0	86.8 Mbp	0.0	80-151	65.0	96.63337910759209	98.90644759702548	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_13_contaminant_free_read2_paired	sample_13_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41202979.0	5.3 Gbp	0.0	80-151	63.0	95.27970112655127	128.47884916282388	140	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_13_contaminant_free_read2_unpaired	sample_13_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	514110.0	50.9 Mbp	0.0	80-151	62.0	98.30727055945665	98.68538250568945	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_14_contaminant_free_read1_paired	sample_14_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67935180.0	8.5 Gbp	0.0	80-151	62.0	95.52312120767394	125.5830645329857	132	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
