samples	T3_N1K1_MAG_00002	T3_N1K1_MAG_00004	T3_N1K1_MAG_00005	T3_N1K1_MAG_00006	T3_N1P2K2_MAG_00001	T3_N1P2K2_MAG_00006	T3_N1P2K2_MAG_00007	T7_N1P2K2_MAG_00004	T7_N1P2K2_MAG_00005	T7_N1P2K2_MAG_00007	T7_N1P2K2_MAG_00008	sample_16_MAG_00001	__splits_not_binned__
sample_14_reads_against_MAGs	15.03214474314851	1.8115344857052462	0.3129831710428846	0.5107609586517237	1.6800800192006666	6.626998627273887	0.47694799843710545	40.044823029874586	1.3062441303567311	0.4098007406274397	8.002135554156991	23.78554654152399	0.0
sample_15_reads_against_MAGs	5.931966091091616	0.12072604051773556	0.06361057686725949	0.024016054919173812	1.4772652126987127	11.317817747162145	1.596683296261328	5.730935666310366	3.160545826813548	13.539883918543767	0.1156867676501293	56.92086280116414	0.0
sample_16_reads_against_MAGs	8.509944325482467	0.1528292925797726	0.09534809899181132	0.06809636076545285	0.48027988552407685	10.04236354155352	0.2603580965807563	6.383102179963057	3.792245370715736	16.867262554107253	6.3261487180448555	47.022021575691255	0.0
sample_17_reads_against_MAGs	5.410075103763821	20.31555264485377	16.2141363206284	25.822010595545596	0.1935129349888417	1.4710084880668712	0.28629109966736244	26.293348312230144	0.22338636771509368	0.09005752025520276	1.336861393551519	2.343759218733596	0.0
sample_18_reads_against_MAGs	7.91928888759023	0.6822170094915101	0.09706562149430392	0.0951255025080515	2.921001804527053	10.373174600560747	5.191585811109136	29.205049316040963	2.5236965655198382	4.969462191732576	0.40546693656794186	35.61686575285772	0.0
sample_19_reads_against_MAGs	11.000291454805296	2.6915588522249214	0.6339188158083342	2.1742298919309535	1.1554592254633114	8.215490341251622	3.3790990122212468	29.239979217684386	1.5847392330679104	2.377454879642935	1.0013520200924972	36.54642705580674	0.0
sample_20_reads_against_MAGs	3.6171087558918424	0.13510858205993795	0.06726789055410519	0.009716866544737286	0.6724603825942987	11.313221701404576	0.25973023215295976	5.953588224526705	3.4934152341651172	18.316535454538673	0.03227068686208332	56.129575988704524	0.0
sample_21_reads_against_MAGs	23.155374011828403	2.6529499501336713	0.41247668503952245	0.6839153069803326	1.9074433222551703	8.335627816403639	0.467938047013527	31.937933015419095	2.1884309217230613	0.6254309528950844	3.703155130226307	23.929324840082387	0.0
sample_22_reads_against_MAGs	17.093053796711796	1.8753793521344002	0.4370193666713549	2.0984490710520167	1.2480678111180314	5.723576857653634	0.6484905833349849	41.46692465174101	1.192282347968567	0.38688952767825946	10.623294570718633	17.206572063216953	0.0
sample_23_reads_against_MAGs	5.716066856024287	0.12509816897360687	0.06572761229396347	0.01158435895708696	1.1373090920901505	12.347348767303625	1.3972927861062003	4.886640975374472	3.902136526912527	16.145488323850962	0.1154334427016954	54.14987308941154	0.0
sample_24_reads_against_MAGs	6.539831265539961	0.13669705346449879	0.08391395596493638	0.03789689620031067	0.8631602138245714	12.98433453588319	0.11184211142327176	8.077538039488912	4.421729074398436	13.24235754855253	0.4884370686257838	53.012262236633546	0.0
